Unnamed: 0.1,id,imdb_id,popularity,budget,revenue,original_title,cast,director,tagline,keywords,overview,runtime,genres,vote_count,Year of release,Movie Rating,Gross collection,Name of movie,Popularity
32,,,4.237188379310346,44010464.62068965,282622788.5,Seven Samurai,0,0,0,0,0,140.8793103448276,0,2911.5,1954,8.6,$0.27M,,
33,,,4.237188379310346,44010464.62068965,282622788.5,It's a Wonderful Life,0,0,0,0,0,140.8793103448276,0,2911.5,1946,8.6,#20,,
34,,,4.237188379310346,44010464.62068965,282622788.5,Harakiri,0,0,0,0,0,140.8793103448276,0,2911.5,1962,8.6,#45,,
35,,,4.237188379310346,44010464.62068965,282622788.5,Sita Ramam,0,0,0,0,0,140.8793103448276,0,2911.5,2022,8.6,*****,,
36,348.0,tt0078748,4.935897,11000000.0,104931801.0,Alien,Sigourney Weaver|Tom Skerritt|Veronica Cartwright|Harry Dean Stanton|John Hurt,Ridley Scott,In space no one can hear you scream.,android|self-destruction|countdown|space marine|space suit,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",117.0,Horror|Action|Thriller|Science Fiction,2724.0,1979,8.5,$78.90M,,
37,244786.0,tt2582802,4.780419,3300000.0,13993093.0,Whiplash,Miles Teller|J.K. Simmons|Melissa Benoist|Austin Stowell|Jayson Blair,Damien Chazelle,The road to greatness can take you to the edge.,jazz|obsession|conservatory|music teacher|new york city,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",105.0,Drama|Music,2372.0,2014,8.5,$13.09M,,
38,16219.0,tt0104346,0.291459,0.0,9.0,Gladiator,James Marshall|Cuba Gooding Jr.|Robert Loggia|Brian Dennehy|Cara Buono,Rowdy Herrington,Nobody owns Tommy Riley. Nobody.,sport|blood splatter|blood|boxing,A story of two teenagers trapped in the world of illegal underground boxing. One is fighting to save his fathers life and using the money pay off gambling debts accumulated by his father. The second is fighting for the money to get out of the ghettos. While being exploited by a boxing promoter the two teens become friends. An explosive ending puts the two friends in the ring against each other.,101.0,Action|Drama,10.0,2000,8.5,$187.71M,,
39,98.0,tt0172495,4.271452,103000000.0,457640427.0,Gladiator,Russell Crowe|Joaquin Phoenix|Connie Nielsen|Oliver Reed|Richard Harris,Ridley Scott,A Hero Will Rise.,rome|gladiator|roman empire|slavery|battlefield,"General Maximus' success in battle earns the favour of the Roman Empire's elderly Emperor at the expense of the Emperor's son. In a fit of jealous rage the son slays his father before turning his anger towards Maximus. Now reduced to a slave, and his family dead, Maximus must fight as a gladiator to gain his freedom â€“ and his revenge.",155.0,Action|Drama|Adventure,3531.0,2000,8.5,$187.71M,,
40,,,4.237188379310346,44010464.62068965,282622788.5,Parasite,0,0,0,0,0,140.8793103448276,0,2911.5,2019,8.5,$53.37M,,
41,105.0,tt0088763,6.095293,19000000.0,381109762.0,Back to the Future,Michael J. Fox|Christopher Lloyd|Lea Thompson|Crispin Glover|Thomas F. Wilson,Robert Zemeckis,He's the only kid ever to get into trouble before he was born.,clock tower|car race|terrorist|delorean|lightning,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",116.0,Adventure|Comedy|Science Fiction|Family,3785.0,1985,8.5,$210.61M,,
42,1422.0,tt0407887,2.81975,90000000.0,289847354.0,The Departed,Leonardo DiCaprio|Matt Damon|Jack Nicholson|Mark Wahlberg|Martin Sheen,Martin Scorsese,Lies. Betrayal. Sacrifice. How far will you take it?,undercover|boston|police|friends|mafia,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",151.0,Drama|Thriller|Crime,2635.0,2006,8.5,$132.38M,,
43,1124.0,tt0482571,2.582095,40000000.0,109676311.0,The Prestige,Hugh Jackman|Christian Bale|Michael Caine|Scarlett Johansson|Andy Serkis,Christopher Nolan,Are You Watching Closely?,competition|secret|obsession|magic|dying and death,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",130.0,Drama|Mystery|Thriller,2519.0,2006,8.5,$53.09M,,
44,,,4.237188379310346,44010464.62068965,282622788.5,Léon: The Professional,0,0,0,0,0,140.8793103448276,0,2911.5,1994,8.5,$19.50M,,
45,8587.0,tt0110357,4.782688,45000000.0,788241776.0,The Lion King,Jonathan Taylor Thomas|Matthew Broderick|James Earl Jones|Jeremy Irons|Moira Kelly,Roger Allers|Rob Minkoff,Life's greatest adventure is finding your place in the Circle of Life.,loss of parents|wild boar|uncle|shaman|redemption,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,89.0,Family|Animation|Drama,3489.0,1994,8.5,$422.78M,,
46,28.0,tt0078788,2.31952,31500000.0,83471511.0,Apocalypse Now,Martin Sheen|Marlon Brando|Robert Duvall|Laurence Fishburne|Sam Bottoms,Francis Ford Coppola,This is the end...,guerilla|river|vietnam|vietcong|cambodia,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",153.0,Drama|War,1100.0,1979,8.5,$83.47M,,
47,423.0,tt0253474,2.364204,35000000.0,120072577.0,The Pianist,Adrien Brody|Thomas Kretschmann|Frank Finlay|Maureen Lipman|Emilia Fox,Roman Polanski,Music was his passion. Survival was his masterpiece.,individual|resistance|radio station|war crimes|loss of family,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,150.0,Drama|War,938.0,2002,8.5,$32.57M,,
48,11252.0,tt0155975,0.38868,60000000.0,37141130.0,Psycho,Vince Vaughn|Anne Heche|Julianne Moore|Viggo Mortensen|William H. Macy,Gus Van Sant,A new vision of a classic nightmare.,shower|motel|stolen money|based on ed gein,"Criminal on the run, Marion Crane takes refuge at the motel operated by Norman Bates - a troubled man whose victims encounter a grisly fate at the hands of his ""mother."" Marion soon becomes the next victim and her disappearance prompts inquiries from her sister and a private investigator. They both soon discover the morbid bond linking Norman to his mysterious ""mother"" at the Bates Motel. Relive the terror in an all new version of Alfred Hitchcock's masterpiece of suspenseâ€¦ Psycho.",105.0,Horror|Mystery|Thriller,112.0,1960,8.5,$32.00M,,
49,539.0,tt0054215,2.610362,806948.0,32000000.0,Psycho,Anthony Perkins|Vera Miles|John Gavin|Janet Leigh|Martin Balsam,Alfred Hitchcock,The master of suspense moves his cameras into the icy blackness of the unexplored!,hotel|clerk|arizona|shower|rain,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fineâ€¦ until Marion decides to take a shower.",109.0,Drama|Horror|Thriller,1180.0,1960,8.5,$32.00M,,
50,629.0,tt0114814,3.440238,6000000.0,23341568.0,The Usual Suspects,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri|Kevin Pollak|Pete Postlethwaite,Bryan Singer,Five Criminals. One Line Up. No Coincidence.,law|relatives|theft|criminal|criminal mastermind,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor â€“ leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",106.0,Drama|Crime|Thriller,1942.0,1995,8.5,$23.34M,,
51,,,4.237188379310346,44010464.62068965,282622788.5,Casablanca,0,0,0,0,0,140.8793103448276,0,2911.5,1942,8.5,$1.02M,,
52,73.0,tt0120586,1.333006,20000000.0,23875127.0,American History X,Edward Norton|Edward Furlong|Beverly D'Angelo|Avery Brooks|Jennifer Lien,Tony Kaye,Some Legacies Must End.,usa|neo-nazi|prison|skinhead|brother brother relationship,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",119.0,Drama,1563.0,1998,8.5,$6.72M,,
53,,,4.237188379310346,44010464.62068965,282622788.5,The Intouchables,0,0,0,0,0,140.8793103448276,0,2911.5,2011,8.5,$13.18M,,
